20.858	21,9	15.815	16,6	75,82	0,63
629	19,7	555	17,4	88,24	0,59
37.696	22,9	15.624	9,5	41,45	0,48
31.526	20,3	20.603	13,3	65,35	0,50
19.929	22,0	11.203	12,4	56,21	0,53
54.023	23,9	19.352	8,6	35,82	0,48
11.331	16,0	12.060	17,0	106,43	0,49
1.008	24,7	508	12,5	50,40	0,59
6.819	16,6	6.989	17,0	102,49	0,51
3.098	21,2	2.471	16,9	79,76	0,61
2.650	19,9	1.851	13,9	69,85	0,51
874	18,4	719	15,1	82,27	0,50
83.260	23,4	31.027	8,7	37,27	0,47
10.157	20,9	6.841	14,1	67,35	0,54
3.750	22,4	2.191	13,1	58,43	0,55
20.464	18,1	15.251	13,5	74,53	0,46
4.663	23,6	2.154	10,9	46,19	0,53
2.828	17,0	1.912	11,5	67,61	0,40
1.268	20,6	918	14,9	72,40	0,55
1.371	18,1	1.181	15,6	86,14	0,51
32.650	19,8	21.449	13,0	65,69	0,49
11.786	21,5	5.411	9,9	45,91	0,46
7.128	17,9	6.736	16,9	94,50	0,53
1.272	19,1	1.038	15,6	81,60	0,53
12.696	17,3	12.141	16,5	95,63	0,51
44.834	20,1	31.409	14,1	70,06	0,52
1.156	17,5	818	12,4	70,76	0,43
3.755	21,9	2.453	14,3	65,33	0,57
10.074	19,3	6.442	12,4	63,95	0,46
7.381	15,6	9.091	19,3	123,17	0,54
1.162	19,4	835	13,9	71,86	0,50
25.513	21,4	11.049	9,3	43,31	0,44
8.301	20,0	5.688	13,7	68,52	0,51
5.761	20,5	3.547	12,6	61,57	0,50
25.867	18,1	21.398	15,0	82,72	0,49
665	21,1	412	13,1	61,95	0,52
2.226	17,9	2.111	17,0	94,83	0,54
873	20,2	527	12,2	60,37	0,48
6.189	17,7	5.250	15,0	84,83	0,48
908	19,9	714	15,6	78,63	0,55
559	17,7	418	13,2	74,78	0,45
70.929	17,9	62.618	15,8	88,28	0,51
3.212	16,3	3.472	17,7	108,09	0,51
4.108	21,8	2.940	15,6	71,57	0,60
6.795	22,8	3.717	12,4	54,70	0,54
823	17,1	946	19,6	114,95	0,58
5.069	18,7	4.382	16,2	86,45	0,54
816	9,5	968	11,3	118,63	0,26
1.600	22,9	787	11,3	49,19	0,52
19.572	19,9	12.873	13,1	65,77	0,49
12.314	19,0	8.737	13,5	70,95	0,48
52.091	17,9	42.741	14,7	82,05	0,48
1.340	18,0	1.161	15,6	86,64	0,50
12.815	17,3	12.347	16,7	96,35	0,51
17.162	20,1	13.004	15,2	75,77	0,55
325	15,0	416	19,2	128,00	0,52
9.464	20,9	4.117	9,1	43,50	0,43
3.481	16,8	3.481	16,8	100,00	0,51
430	19,1	433	19,2	100,70	0,62
2.800	20,9	1.290	9,6	46,07	0,44
1.052	19,0	782	14,1	74,33	0,50
909	20,7	701	15,9	77,12	0,58
500	18,9	465	17,6	93,00	0,57
3.400	20,3	2.295	13,7	67,50	0,52
1.173	15,2	1.612	20,8	137,43	0,56
546	15,2	775	21,5	141,94	0,58
486	15,6	678	21,7	139,51	0,59
9.606	21,1	5.848	12,9	60,88	0,52
18.037	19,3	11.390	12,2	63,15	0,46
1.752	18,7	1.528	16,3	87,21	0,54
699	14,3	614	12,5	87,84	0,37
2.534	18,8	2.116	15,7	83,50	0,53
448	15,8	502	17,7	112,05	0,51
713	18,0	694	17,5	97,34	0,55
39.719	17,5	36.933	16,2	92,99	0,51
347	16,5	359	17,1	103,46	0,51
4.434	17,6	3.990	15,8	89,99	0,50
13.842	17,5	11.877	15,0	85,80	0,48
88.575	19,8	49.677	11,1	56,08	0,45
734	14,9	870	17,6	118,53	0,48
