3	15	47	1	11	36	1	10	39
9	19	31	4	13	24	4	12	25
84	149	522	42	106	401	36	94	429
81	133	424	40	94	326	35	84	348
13	33	99	6	23	76	6	21	81
11	23	53	5	16	41	5	15	44
17	24	36	8	17	28	7	15	30
48	78	465	24	55	357	21	49	382
6	14	37	3	10	28	3	9	30
2	14	48	1	10	37	1	9	39
6	29	53	3	21	41	3	18	44
47	88	353	23	62	271	20	56	290
1120	1913	5810	559	1355	4462	484	1213	4775
0	9	10	0	6	8	0	6	8
79	99	193	39	70	148	34	63	159
81	292	1058	40	207	813	35	185	870
33	58	99	16	41	76	14	37	81
9	13	89	4	9	68	4	8	73
12	59	80	6	42	61	5	37	66
51	89	145	25	63	111	22	56	119
34	26	111	17	18	85	15	16	91
31	78	134	15	55	103	13	49	110
75	87	166	37	62	127	32	55	136
34	172	300	17	122	230	15	109	247
31	114	317	15	81	243	13	72	261
56	97	193	28	69	148	24	62	159
4	20	45	2	14	35	2	13	37
84	126	298	42	89	229	36	80	245
10	39	39	5	28	30	4	25	32
21	46	117	10	33	90	9	29	96
6	45	71	3	32	55	3	29	58
23	50	165	11	35	127	10	32	136
2	10	27	1	7	21	1	6	22
14	74	136	7	52	104	6	47	112
19	33	61	9	23	47	8	21	50
50	106	773	25	75	594	22	67	635
5	3	22	2	2	17	2	2	18
37	58	122	18	41	94	16	37	100
86	129	557	43	91	428	37	82	458
7	49	69	3	35	53	3	31	57
0	5	29	0	4	22	0	3	24
46	56	154	23	40	118	20	36	127
21	269	750	10	191	576	9	171	616
0	13	32	0	9	25	0	8	26
27	20	83	13	14	64	12	13	68
83	266	602	41	188	462	36	169	495
75	176	271	37	125	208	32	112	223
40	82	190	20	58	146	17	52	156
214	254	426	107	180	327	93	161	350
15	21	88	7	15	68	6	13	72
242	328	683	121	232	525	105	208	561
53	111	420	26	79	323	23	70	345
279	334	1100	139	237	845	121	212	904
6	42	149	3	30	114	3	27	122
27	67	155	13	47	119	12	42	127
6	0	21	3	0	16	3	0	17
16	42	50	8	30	38	7	27	41
68	178	279	34	126	214	29	113	229
382	862	2928	191	611	2249	165	547	2407
36	90	364	18	64	280	16	57	299
22	57	178	11	40	137	10	36	146
24	106	173	12	75	133	10	67	142
48	44	123	24	31	94	21	28	101
54	130	204	27	92	157	23	82	168
140	160	451	70	113	346	61	101	371
5	34	139	2	24	107	2	22	114
105	119	266	52	84	204	45	75	219
14	22	48	7	16	37	6	14	39
6	11	29	3	8	22	3	7	24
90	193	926	45	137	711	39	122	761
10	46	56	5	33	43	4	29	46
11	64	223	5	45	171	5	41	183
0	0	42	0	0	32	0	0	35
129	188	371	64	133	285	56	119	305
14	18	54	7	13	41	6	11	44
0	0	30	0	0	23	0	0	25
5	21	39	2	15	30	2	13	32
39	45	80	19	32	61	17	29	66
62	164	484	31	116	372	27	104	398
29	189	727	14	134	558	13	120	598
201	185	239	100	131	184	87	117	196
38	60	204	19	43	157	16	38	168
4	4	26	2	3	20	2	3	21
9	52	203	4	37	156	4	33	167
525	743	1959	262	526	1505	227	471	1610
7	7	50	3	5	38	3	4	41
25	12	37	12	9	28	11	8	30
50	62	89	25	44	68	22	39	73
99	170	329	49	120	253	43	108	270
223	404	1670	111	286	1283	96	256	1373
63	125	257	31	89	197	27	79	211
78	199	443	39	141	340	34	126	364
12	15	32	6	11	25	5	10	26
14	61	123	7	43	94	6	39	101
0	15	21	0	11	16	0	10	17
4	27	66	2	19	51	2	17	54
9	15	64	4	11	49	4	10	53
16	41	86	8	29	66	7	26	71
76	59	364	38	42	280	33	37	299
8	13	30	4	9	23	3	8	25
25	109	220	12	77	169	11	69	181
4	21	43	2	15	33	2	13	35
118	98	388	59	69	298	51	62	319
12	52	105	6	37	81	5	33	86
5	29	31	2	21	24	2	18	25
25	52	84	12	37	65	11	33	69
80	92	246	40	65	189	35	58	202
27	39	73	13	28	56	12	25	60
7	15	45	3	11	35	3	10	37
10	25	21	5	18	16	4	16	17
3	46	75	1	33	58	1	29	62
170	231	762	85	164	585	74	146	626
1386	2192	5048	691	1553	3877	599	1390	4149
21	30	68	10	21	52	9	19	56
8	27	33	4	19	25	3	17	27
9	10	72	4	7	55	4	6	59
22	34	123	11	24	94	10	22	101
160	390	1888	80	276	1450	69	247	1552
0	48	296	0	34	227	0	30	243
52	112	298	26	79	229	22	71	245
33	49	66	16	35	51	14	31	54
115	113	207	57	80	159	50	72	170
8	45	119	4	32	91	3	29	98
1	5	36	0	4	28	0	3	30
4	15	12	2	11	9	2	10	10
18	18	58	9	13	45	8	11	48
2	2	4	1	1	3	1	1	3
18	28	97	9	20	74	8	18	80
71	102	134	35	72	103	31	65	110
86	61	225	43	43	173	37	39	185
0	6	14	0	4	11	0	4	12
9	21	101	4	15	78	4	13	83
163	280	1262	81	198	969	70	178	1037
102	144	279	51	102	214	44	91	229
10	41	91	5	29	70	4	26	75
23	32	33	11	23	25	10	20	27
27	77	153	13	55	118	12	49	126
0	39	71	0	28	55	0	25	58
226	611	2212	113	433	1699	98	387	1818
15	23	108	7	16	83	6	15	89
1	3	29	0	2	22	0	2	24
15	15	25	7	11	19	6	10	21
12	6	20	6	4	15	5	4	16
59	69	231	29	49	177	26	44	190
74	205	447	37	145	343	32	130	367
3	20	68	1	14	52	1	13	56
38	74	420	19	52	323	16	47	345
20	68	192	10	48	147	9	43	158
34	169	567	17	120	435	15	107	466
6	39	36	3	28	28	3	25	30
10	28	67	5	20	51	4	18	55
5	17	21	2	12	16	2	11	17
1	8	30	0	6	23	0	5	25
215	255	834	107	181	641	93	162	685
5	5	35	2	4	27	2	3	29
29	71	247	14	50	190	13	45	203
6	141	138	3	100	106	3	89	113
16	7	26	8	5	20	7	4	21
11	129	150	5	91	115	5	82	123
986	1887	5260	492	1337	4040	426	1197	4323
5	34	71	2	24	55	2	22	58
46	90	292	23	64	224	20	57	240
25	53	75	12	38	58	11	34	62
10	54	100	5	38	77	4	34	82
15	55	109	7	39	84	6	35	90
0	0	0	0	0	0	0	0	0
3	9	53	1	6	41	1	6	44
291	665	2401	145	471	1844	126	422	1973
60	84	153	30	60	118	26	53	126
893	1800	5792	446	1275	4448	386	1141	4761
155	265	888	77	188	682	67	168	730
258	409	1740	129	290	1336	112	259	1430
3	5	29	1	4	22	1	3	24
95	218	766	47	154	588	41	138	630
2	3	19	1	2	15	1	2	16
0	6	5	0	4	4	0	4	4
0	5	31	0	4	24	0	3	25
28	235	348	14	166	267	12	149	286
26	5	125	13	4	96	11	3	103
13	25	54	6	18	41	6	16	44
54	127	344	27	90	264	23	81	283
518	1066	3614	258	755	2776	224	676	2970
1112	1597	5466	555	1131	4198	481	1013	4493
39	78	135	19	55	104	17	49	111
15	34	179	7	24	137	6	22	147
64	115	290	32	81	223	28	73	238
74	156	356	37	111	273	32	99	293
20495	27065	78261	10225	19173	60104	8862	17162	64324
73	197	402	36	140	309	32	125	330
11	59	87	5	42	67	5	37	72
102	218	705	51	154	541	44	138	579
223	305	757	111	216	581	96	193	622
16	39	141	8	28	108	7	25	116
6	56	132	3	40	101	3	36	108
340	810	2416	170	574	1855	147	514	1986
10	30	115	5	21	88	4	19	95
5	25	64	2	18	49	2	16	53
2	37	47	1	26	36	1	23	39
40	51	75	20	36	58	17	32	62
29	65	359	14	46	276	13	41	295
96	160	471	48	113	362	42	101	387
