12	31	9	7	6	5	7	5	5	7	3	0	8	7	9	1	2	2	1	1	1	0	0	0	649	255	81	-1	45	68	7099	6.308	5.682	633	651	675	758	807	886
19	17	19	5	6	4	7	7	5	11	9	8	6	7	7	1	1	1	1	1	1	0	0	0	129	350	172	12	14	36	3561	3.164	3.055	174	188	210	269	275	287
3	10	8	2	2	2	2	2	2	1	3	2	3	3	3	1	1	1	0	0	0	0	0	0	95	91	97	-1	-1	-1	2643	2.669	2.616	127	126	131	232	248	262
12	10	10	3	3	2	2	2	2	3	2	2	2	3	3	1	1	1	0	0	0	0	0	0	362	405	446	-1	-1	-1	1770	1.327	1.171	121	120	124	135	137	155
4	4	4	2	2	2	0	0	0	0	0	0	0	0	-1	1	1	1	0	0	0	0	0	0	18	22	47	-1	-1	-1	718	677	602	14	14	16	22	22	22
19	16	15	4	4	4	0	1	1	8	4	3	1	1	1	2	2	2	0	0	0	0	0	0	382	408	499	-1	-1	-1	4783	3.984	3.484	489	672	772	321	379	410
4	4	4	2	2	2	1	0	0	0	0	0	0	0	-1	1	1	1	0	0	0	0	0	0	11	72	188	-1	-1	-1	960	847	781	8	8	8	14	15	20
13	9	9	6	6	5	2	2	3	1	1	1	2	2	3	2	2	2	1	1	1	0	0	0	335	332	348	20	25	58	10700	10.087	9.647	234	235	231	296	301	299
7	10	9	5	3	5	2	2	2	1	1	0	1	2	2	1	2	2	1	1	1	0	0	0	312	327	272	106	124	114	4620	4.804	4.503	522	531	512	527	554	581
4	4	8	2	2	3	0	0	0	1	0	1	0	0	-1	1	1	1	0	0	0	0	0	0	239	95	46	-1	-1	-1	1660	1.609	1.546	41	40	37	49	53	52
12	12	11	5	5	4	2	2	2	4	4	4	4	2	3	1	1	1	1	1	1	0	0	0	559	462	453	42	53	60	2400	1.961	1.712	297	318	316	269	302	335
2	3	5	3	3	3	2	1	2	1	1	3	0	0	-1	0	1	1	0	0	0	0	0	0	-1	-1	47	-1	-1	-1	985	905	874	26	22	22	66	69	77
159	152	143	52	46	12	42	46	42	60	49	46	83	75	78	11	11	12	3	3	3	2	2	2	233	137	124	110	359	524	76680	69.638	65.669	6.996	7.187	7.316	6.170	6.393	6.496
26	23	22	5	5	5	3	2	1	13	4	9	2	3	4	3	3	3	1	1	1	0	0	0	286	284	135	-1	79	116	4973	4.502	4.346	581	611	649	496	523	534
11	21	22	4	3	3	7	7	6	5	9	9	4	5	6	1	1	1	0	0	0	0	0	0	432	484	638	-1	-1	-1	4762	4.387	4.135	388	399	455	566	593	606
2	4	2	2	2	2	2	2	2	0	2	0	1	1	1	1	1	1	0	0	0	0	0	0	257	142	148	88	-1	-1	739	605	568	34	39	36	60	64	68
8	7	7	6	5	4	4	2	2	0	0	0	1	1	2	1	1	1	0	0	0	0	0	0	275	591	706	-1	-1	-1	1931	1.759	1.642	195	212	226	108	111	116
6	6	6	2	2	2	0	0	0	2	2	2	0	0	-1	1	1	1	0	0	0	0	0	0	175	538	341	-1	-1	-1	882	785	715	8	10	14	8	9	12
13	12	10	3	2	4	2	2	2	4	3	3	5	6	5	1	1	1	0	0	1	0	0	0	8	22	19	-1	-1	23	3798	3.239	2.949	165	169	176	412	423	447
3	2	2	2	2	2	0	0	0	1	0	0	0	0	-1	1	1	1	0	0	0	0	0	0	316	328	337	-1	-1	-1	457	358	323	24	27	25	22	24	27
7	5	5	4	4	4	1	0	1	0	0	0	0	0	-1	1	1	1	0	0	0	0	0	0	30	35	32	-1	-1	-1	982	864	781	21	21	21	35	38	40
10	10	10	5	5	5	4	4	4	2	1	1	7	6	5	1	1	1	1	1	1	0	0	0	662	888	1370	212	-1	235	8322	8.020	7.815	674	674	703	796	803	879
6	10	12	3	3	5	1	1	1	1	1	2	1	1	1	1	1	1	0	0	0	0	0	0	95	10	3	-1	-1	-1	1673	1.663	1.632	85	84	89	169	192	215
11	17	25	3	4	4	3	2	2	4	5	6	4	4	4	1	1	2	1	1	1	0	0	0	87	51	15	116	90	107	3934	3.339	3.143	346	350	361	365	364	395
20	30	33	6	5	5	4	4	4	7	5	2	4	4	2	3	4	4	1	1	1	0	0	0	889	698	417	89	351	492	10796	13.649	13.622	1.286	1.349	1.496	1.308	1.340	1.425
30	42	59	7	8	6	5	6	6	0	0	0	16	10	6	4	5	5	0	1	1	0	0	0	136	107	197	-1	14	75	38599	34.093	32.953	2.293	2.423	2.677	1.497	1.624	1.790
