7.215	441,71	16,13	0,32	-24	9,94	15,85	20,95	2.565	72,06	96,64
200.647	324,01	678,65	2,32	2.844	18,40	22,80	9,26	59.038	100	52,94
31.662	311,4	105,39	0,90	82	13,16	19,99	12,56	9.216	97,99	99,64
7.579	385,23	20,61	1,17	33	14,91	20,29	12,85	2.341	77,34	94,24
2.277	149,05	14,79	0,81	-44	9,45	16,92	16,47	779	68,42	95,86
77.009	305,7	256,02	0,40	-245	13,05	20,18	13,96	23.121	97,59	97,05
118.629	142,88	860,44	0,90	-336	15,53	22,40	9,34	36.464	100	54,09
21.876	1.407,32	15,44	0,16	-296	10,52	19,71	15,33	7.039	58,55	90,02
31.038	753,71	41,98	0,48	32	12,89	17,63	15,42	9.554	90,85	99,36
385.838	30,8	12.796,46	0,53	-2.162	16,33	22,06	9,17	117.344	100	96,55
1.688	88,35	19,29	0,24	1	21,18	16,49	20,19	589	78,76	98,90
11.215	222,13	49,79	0,35	-133	12,98	16,68	17,52	3.583	70,44	89,39
7.931	149,73	55,61	1,22	10	15,08	23,00	10,03	2.426	97,77	99,45
24.741	632,97	40,51	0,90	31	13,73	21,58	14,09	7.619	95,76	97,14
2.096	78,34	26,49	0,25	-11	9,62	16,63	20,24	729	93,59	99,42
8.609	205,87	41,55	0,16	-40	9,92	17,33	17,28	2.837	91,52	98,69
43.234	488,04	90,24	0,46	121	10,77	16,19	17,76	14.256	92,57	96,57
12.253	264,56	45,90	0,23	-81	11,34	17,76	18,14	4.029	90,84	98,56
8.126	111,36	78,90	1,97	126	11,72	19,55	11,34	2.382	97,27	99,30
6.322	515,43	12,17	0,19	-100	9,86	19,89	16,94	2.018	80,95	96,77
14.637	1.654,26	8,94	0,26	-137	15,66	25,88	13,24	4.258	49,21	90,51
15.758	202,69	81,10	1,06	61	10,88	20,85	11,30	4.423	81,57	97,56
3.115	93,98	34,92	1,31	41	12,66	16,79	15,45	994	92,60	98,13
2.423	83,13	29,00	0,12	-19	9,94	18,08	16,47	801	86,69	94,34
239.939	70,39	3.590,41	1,31	-144	18,38	23,96	8,36	68.225	100	72,78
62.718	155,63	416,90	0,85	-16	16,03	22,69	10,90	18.117	97,33	41,79
3.019	224	13,57	0,23	-5	9,87	17,16	17,95	1.016	84,90	98,12
15.662	109,94	161,65	3,21	412	14,81	23,16	8,11	4.648	74,38	97,14
41.895	389,42	108,40	0,19	-61	11,89	17,72	15,69	12.999	89,89	98,71
4.239	193,66	23,04	1,29	12	12,03	23,24	10,85	1.310	85,52	98,04
10.033	74,21	141,07	1,07	54	12,55	19,57	11,66	2.910	79,76	96,36
2.658	263	10,08	0,03	-19	15,44	20,45	12,99	799	82,41	97,74
8.208	296,41	27,56	0,12	-51	10,64	17,10	17,38	2.732	85,03	97,33
9.590	575	16,55	0,19	-164	14,16	22,40	12,86	2.963	64,07	93,48
